2023-05-26 05:07:30,185 INFO    MainThread:17128 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-05-26 05:07:30,186 INFO    MainThread:17128 [wandb_setup.py:_flush():76] Configure stats pid to 17128
2023-05-26 05:07:30,186 INFO    MainThread:17128 [wandb_setup.py:_flush():76] Loading settings from C:\Users\lewis\.config\wandb\settings
2023-05-26 05:07:30,186 INFO    MainThread:17128 [wandb_setup.py:_flush():76] Loading settings from C:\MyStuff\CodingProjects\enigmaCOA\wandb\settings
2023-05-26 05:07:30,186 INFO    MainThread:17128 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-26 05:07:30,186 INFO    MainThread:17128 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-26 05:07:30,186 INFO    MainThread:17128 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'trainModelLogisticRegression.py', 'program': 'c:\\MyStuff\\CodingProjects\\enigmaCOA\\trainModelLogisticRegression.py'}
2023-05-26 05:07:30,186 INFO    MainThread:17128 [wandb_init.py:_log_setup():507] Logging user logs to C:\MyStuff\CodingProjects\enigmaCOA\wandb\run-20230526_050730-mc9s1vqs\logs\debug.log
2023-05-26 05:07:30,186 INFO    MainThread:17128 [wandb_init.py:_log_setup():508] Logging internal logs to C:\MyStuff\CodingProjects\enigmaCOA\wandb\run-20230526_050730-mc9s1vqs\logs\debug-internal.log
2023-05-26 05:07:30,187 INFO    MainThread:17128 [wandb_init.py:init():547] calling init triggers
2023-05-26 05:07:30,187 INFO    MainThread:17128 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'architecture': 'LogisticRegression', 'dataset': 'germanEncryption', 'epochs': 100}
2023-05-26 05:07:30,187 INFO    MainThread:17128 [wandb_init.py:init():596] starting backend
2023-05-26 05:07:30,187 INFO    MainThread:17128 [wandb_init.py:init():600] setting up manager
2023-05-26 05:07:30,193 INFO    MainThread:17128 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-05-26 05:07:30,199 INFO    MainThread:17128 [wandb_init.py:init():606] backend started and connected
2023-05-26 05:07:30,202 INFO    MainThread:17128 [wandb_init.py:init():700] updated telemetry
2023-05-26 05:07:30,203 INFO    MainThread:17128 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-26 05:07:30,514 INFO    MainThread:17128 [wandb_run.py:_on_init():2177] communicating current version
2023-05-26 05:07:30,598 INFO    MainThread:17128 [wandb_run.py:_on_init():2186] got version response 
2023-05-26 05:07:30,599 INFO    MainThread:17128 [wandb_init.py:init():787] starting run threads in backend
2023-05-26 05:07:30,670 INFO    MainThread:17128 [wandb_run.py:_console_start():2158] atexit reg
2023-05-26 05:07:30,671 INFO    MainThread:17128 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-26 05:07:30,671 INFO    MainThread:17128 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-26 05:07:30,671 INFO    MainThread:17128 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-26 05:07:30,671 INFO    MainThread:17128 [wandb_init.py:init():829] run started, returning control to user process
